"Rank","Name","Symbol","marketcap","price (USD)","country"
"215","Qiiwi Games","QIIWI.ST","3653359","0.39498","Sweden"
"216","Nitro Games","NITRO.ST","3519261","0.141197","Finland"
"217","CMON","1792.HK","3221302","0.00178367","Singapore"
"218","Gameone","8282.HK","3001656","0.078991","Hong Kong"
"219","Thunderful Group","THUNDR.ST","1761702","0.0236366","Sweden"
"220","Maximum Entertainment","8R7.F","1330026","0.0085817","Sweden"
"221","T-Bull","TBL.WA","1228284","1.03365","Poland"
"222","Playground Ventures","PLAY.CN","1225652","0.0145147","Canada"
"223","Freeze Tag","FRZT","1200897","0.016","United States"
"224","Sozap","SOZAP.ST","945220","0.0425044","Sweden"
"225","Tapinator","TAPM","924741","0.3393","United States"
"226","Kuuhubb","KUU.V","712506","0.01","Canada"
"227","iEntertainment Network","IENT","484219","0.0037","United States"
"228","GAME HOURS","6626.TWO","285836","0.0972769","Taiwan"
"229","Gaming Technologies (Gametech)","GMGT","9140","0.0002","United States"
"230","Virtual Interactive Technologies","VRVR","4126","0.0005","Bermuda"
"231","Gamer Pakistan","GPAK","2558","0.0001","United States"
